,URW NA Equity,VIE FP Equity,VIV FP Equity,ORA FP Equity,EN FP Equity,SOLB BB Equity,AC FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,LG FP Equity,ENGI FP Equity,FR FP Equity,FTI FP Equity,STM FP Equity,SU FP Equity,SW FP Equity,ACA FP Equity,AI FP Equity,AIR FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,SGO FP Equity,LI FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,GLE FP Equity,GTO NA Equity,HOLN FP Equity,KER FP Equity,ALO FP Equity,ALU FP Equity,ATO FP Equity,BN FP Equity,TEC FP Equity,TTE FP Equity,UG FP Equity,UL NA Equity,MT NA Equity,NOKIA FP Equity,OR FP Equity,BNP FP Equity,CA FP Equity,CAP FP Equity,CS FP Equity,DG FP Equity,DSY FP Equity,EDF FP Equity,EL FP Equity
2015-01-01,212.85,14.2263,6.0152,14.15,29.98,105.6382,37.34,59.64,92.26,294.8,58.08,19.43,34.5333,,6.2,60.61,81.27,10.76,75.2647,41.35,60.53,51.25,75.2499,35.23,35.73,43.545,132.25,18.8175,34.99,67.93,,148.26,24.9061,2.97,50.1346,54.45,49.415,42.52,10.22,212.85,21.1416,,139.3,49.26,25.3,59.48,19.205,45.51,10.108,20.2354,92.68
2015-01-02,211.55,14.1589,5.976,14.06,30.025,104.5104,37.28,59.26,91.09,299.65,57.41,19.31,34.45,,6.225,59.95,80.9,10.9,74.2036,41.525,59.9,51.05,75.0311,35.165,35.6,43.46,130.85,18.59,35.36,68.18,,146.64,24.92,2.956,49.4919,53.86,49.26,42.525,10.2,211.55,20.9834,,137.4,49.43,25.075,60.12,19.1,45.425,10.194,20.0403,91.0
2015-01-05,209.85,13.8069,5.8538,13.52,28.915,100.3281,36.8,58.08,89.11,290.0,56.29,18.49,33.9,,6.132,57.34,79.47,10.4,71.9058,41.65,57.81,50.95,72.8729,33.65,35.29,42.06,127.05,18.165,33.78,67.22,,143.29,24.2941,2.871,48.7886,52.48,46.93,39.98,9.822,209.85,20.1785,,134.15,47.03,23.86,59.32,18.39,43.88,10.132,19.4685,89.85
2015-01-06,210.15,13.6141,5.7565,13.37,28.695,99.5293,36.03,57.9,88.52,280.95,56.12,18.305,33.3833,,6.066,57.42,78.74,10.2,71.3057,42.615,57.51,51.3,73.1116,33.115,36.52,41.28,125.6,17.9575,33.18,66.4,,141.94,24.308,2.833,47.4955,52.32,47.575,39.92,9.795,210.15,20.1739,,134.15,45.8,23.67,57.03,18.19,43.4,9.842,19.2779,88.72
2015-01-07,213.15,13.7202,5.7681,13.59,29.03,98.7774,36.21,58.32,90.32,287.35,56.24,18.135,33.5333,,6.193,57.78,79.55,10.055,71.6277,43.725,57.38,52.16,73.8873,33.025,37.425,40.98,125.7,18.0425,32.825,65.76,,144.31,24.5954,2.807,47.2989,52.93,47.385,40.825,9.772,213.15,20.1413,,134.9,45.035,23.645,57.27,18.385,45.0,9.781,18.9455,90.0
2015-01-08,221.1,13.9757,5.9018,14.205,29.9,102.8657,36.935,59.2,95.07,288.85,57.7,18.79,35.2667,,6.4,60.16,81.42,10.3,74.6427,45.215,59.6,53.72,77.0004,34.36,37.185,41.91,129.65,18.76,33.78,68.14,,148.77,25.0405,2.899,48.8793,54.46,48.395,42.4,10.15,221.1,20.8787,,139.8,46.495,24.72,58.9,19.145,46.575,10.008,19.1981,93.37
2015-01-09,217.0,14.1733,5.8858,13.97,29.605,100.3751,36.905,58.96,94.16,282.8,57.99,18.22,35.5667,,6.366,58.8,79.83,10.065,72.9669,44.55,58.84,53.97,74.4742,33.83,37.99,41.71,127.7,18.575,33.4,67.04,,147.75,24.8736,2.931,48.6298,53.22,47.765,41.065,10.23,217.0,20.346,,137.8,44.935,23.875,59.26,18.715,46.565,9.906,19.1405,91.45
2015-01-12,220.4,14.0817,5.9207,14.39,30.58,100.4691,37.315,59.73,96.75,285.0,57.84,18.28,36.6,,6.451,59.56,81.22,9.995,74.2402,44.95,59.38,54.01,75.5185,33.99,38.4,41.68,131.95,18.94,33.445,68.24,,150.73,25.0127,2.859,48.8718,54.21,45.87,41.28,10.6,220.4,19.8366,,140.9,45.295,24.445,59.96,18.74,47.635,10.008,19.0518,93.71
2015-01-13,224.6,14.665,5.9832,14.63,30.8,102.1608,37.95,60.14,98.03,289.75,58.83,18.63,37.3167,,6.527,61.46,82.16,10.36,74.972,45.565,61.54,54.21,76.4136,34.51,38.5,41.475,132.95,19.3075,33.865,66.32,,154.12,25.3512,2.861,48.781,54.47,47.11,41.7,10.85,224.6,19.7737,,142.65,46.345,25.385,59.31,19.165,48.27,9.979,20.0049,94.4
2015-01-14,224.8,14.6747,5.9396,14.395,30.225,100.5631,37.05,60.08,97.28,285.15,58.24,18.01,36.4167,,6.489,60.27,81.11,10.305,73.9841,45.14,59.77,53.95,75.3195,33.545,38.855,41.04,132.7,18.8575,33.485,65.06,,151.05,24.8597,2.809,48.4105,53.61,45.94,40.815,10.74,224.8,18.6106,,141.6,44.935,25.955,58.69,18.8,47.465,9.972,18.8435,93.41
