,CAP FP Equity,DSY FP Equity,PUB FP Equity,RI FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,ACA FP Equity,AI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,CS FP Equity,DG FP Equity,TEP FP Equity,TTE FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,ERF FP Equity,GLE FP Equity,AIR FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,SGO FP Equity,VIV FP Equity,WLN FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,OR FP Equity,ORA FP Equity
2015-01-02,9835.2085,13065.6092,13105.2609,24177.2536,19573.8076,10085.488,47025.3517,28082.3864,34956.2606,31633.8744,5669.7132,35042.5094,17713.7652,21289.3596,99554.8215,46642.1394,26800.9025,3297.6775,101403.5515,9348.2881,19916.1926,18427.9655,3249.0522,28471.8422,32588.7967,20740.6559,8257.4022,11571.107,8323.2018,34674.6367,61580.7231,19758.7765,27718.8466,2124.0181,66431.6122,13798.103,15021.8378,76952.3275,37243.3301
2015-01-05,9704.3342,12986.144,12844.3057,23651.7188,19326.4463,9712.6357,45028.418,26794.2035,33873.7886,30615.1295,5585.0091,33516.8889,17095.7056,21247.6567,96691.1687,44908.3216,25889.3473,3282.233,95334.838,9245.5254,19461.6868,17535.0452,3200.0639,27199.6275,32686.8966,20573.9856,8052.162,11198.3608,8114.1539,33786.2038,58590.7628,18907.5168,27152.4678,2097.6328,64502.3793,13482.6542,14445.612,75132.1306,35812.9319
2015-01-06,9329.7063,12614.4522,12804.4989,23495.1201,19083.3869,9638.737,44577.8903,26278.9304,33591.1048,29659.7264,5524.8964,33563.6512,17006.9889,21393.617,97007.8861,44419.9223,25606.1457,3229.0354,95191.7642,9272.5136,19278.622,17395.4115,3132.9877,26716.5081,33443.4244,20603.398,7939.7017,10990.6879,8118.7994,33683.197,57058.4082,18606.907,26700.7133,2108.1869,63766.2246,13328.6409,14442.2813,75132.1306,35415.5991
2015-01-07,9368.9686,12536.2687,12897.3813,23972.8789,19358.7108,9751.2645,44163.8919,25905.3573,33742.7888,30335.3706,5640.5677,33774.0816,16968.545,21752.2625,98037.2175,44896.1116,26550.1511,3235.3276,97349.794,9383.5803,19600.5636,17377.0387,3183.4833,26430.6624,34314.5308,20897.5222,8001.5549,10910.8137,8214.8066,34075.9101,56105.3583,18556.3371,26754.6541,2104.2291,63816.9939,13391.7307,14418.9658,75552.176,35998.3539
2015-01-08,9635.6251,12827.2137,13091.992,25233.6315,20083.587,10043.5002,45759.0035,26536.5669,35163.1024,30493.7247,5829.1027,35165.2605,17625.0485,22402.8286,102167.7396,46752.0292,27483.8438,3298.8215,101105.4811,9559.0034,20206.5714,18167.0711,3216.6445,27199.675,35483.8539,21680.7011,8150.5649,11159.6259,8363.4628,35060.9119,57924.2508,19306.7317,27374.9737,2117.4218,65822.3807,13924.2825,14946.8951,78296.473,37627.4185
2015-01-09,9694.5186,12696.4807,13038.9164,24992.0979,19670.6011,9944.4088,44370.8911,25931.121,34373.6562,29855.0298,5798.1356,34370.3011,17400.2995,22507.086,98815.8143,45701.9706,27477.9428,3266.2165,97922.0891,9709.5144,20067.6946,17546.0689,3224.9349,26893.6988,34961.9748,21278.6619,8265.8367,11106.3707,8307.7167,34262.6098,55987.1066,19008.9271,27300.8051,2110.8254,64832.3796,13786.9695,14565.5203,77176.3518,37004.9304
2015-01-12,9809.0337,12827.2137,13209.2007,25679.5398,20231.2892,10271.9142,44517.0082,25750.7754,34973.4974,30087.2825,5875.5534,34814.5431,17559.9896,22523.7672,100201.4527,45763.0205,28109.3484,3420.6611,98434.7702,9594.2956,20471.6998,17964.9698,3309.3454,26929.9328,35275.887,21612.0603,8212.4181,11098.3824,8354.1718,34899.9639,56435.6514,19098.8304,27462.6276,2120.0603,66990.0743,14057.8844,14200.7994,78912.5397,38117.4623
2015-01-13,9702.6983,12790.0445,13299.8716,26019.2795,20380.2551,10345.8129,45369.3579,26691.1489,35332.228,30588.7372,5944.774,35925.1481,18198.7497,22607.1731,101389.1428,46800.8692,28484.061,3433.2455,99436.2868,9909.8497,20932.5182,18655.7888,3404.3073,27268.3568,35758.5271,22023.9053,8552.6107,11043.7959,8467.4186,35067.3498,57743.9069,19391.0161,27752.5596,2137.8704,67497.7672,14330.6548,14155.8338,79892.6457,38753.1948
2015-01-14,9601.2706,12781.0727,13286.6027,25820.2133,20166.5214,10152.6686,43859.4813,26549.4488,34866.6496,30103.1179,5910.1637,35229.5587,17675.3213,22498.7454,99937.5216,45909.5403,28009.0316,3417.801,97325.9483,9773.8708,20515.8878,19074.6897,3315.3747,26962.3779,35424.9953,22043.517,8558.2337,10927.9658,8303.2733,34513.6887,55987.1066,18848.7869,27550.2815,2153.0419,67370.844,13996.6502,13323.1377,79304.5821,38130.7067
2015-01-15,9961.1751,13050.2288,13523.2316,26489.0757,20935.0989,10365.967,44468.3025,27116.2492,35625.37,30171.738,5995.7786,36351.8542,18237.1936,22874.072,102721.995,47594.5181,28442.7541,3466.4225,100032.4276,9978.3581,21052.4572,19361.3062,3331.2017,27364.9817,36311.7974,22582.8379,8681.9401,11302.0836,8329.5985,35247.6116,57419.9579,18758.8836,27806.5004,2175.4695,68563.9222,14258.2872,13527.9809,81824.8548,38660.4838
2015-01-16,9949.7236,13075.8627,13874.8578,27086.2743,21079.7469,10347.4924,44918.8302,27644.4042,35918.5119,29944.7638,6067.7316,36749.3339,18612.7609,23020.0323,105480.0753,48613.5159,28203.7642,3472.7146,103251.588,9930.6098,20970.3937,20121.942,3405.8146,27465.6327,36409.8949,23627.1593,8774.7199,11266.1363,8230.4919,35807.7106,57301.5919,18786.9783,27833.4708,2143.8071,68132.3833,14486.6433,13959.3175,82132.8882,38965.1057
2015-01-19,10020.0686,13216.8493,13861.5888,27272.0694,21088.3826,10364.2875,45369.3579,27618.6405,36177.1666,30303.6998,6085.9476,37164.3494,18896.6543,23424.551,105202.9476,48931.0119,28602.0807,3544.2168,102667.37,9975.2441,21090.3327,19945.5627,3452.5419,28073.5644,36610.014,23377.1105,8878.7457,11403.2684,8233.589,35872.0898,58080.3155,19090.402,27739.0744,2141.8282,68132.3833,14694.6567,13842.7401,82188.8942,38912.128
2015-01-20,10000.4374,13283.4975,14151.2934,27444.5935,21287.0037,10351.4629,45819.8856,28030.8591,36556.5268,30092.561,6197.0648,37924.237,18855.2532,23245.2283,106060.7238,49236.2965,28430.9521,3511.0398,103895.42,9971.0921,21109.2704,20202.7825,3426.9172,29269.2978,36947.4696,23372.2076,8909.6723,11629.603,8489.0982,36296.9925,59482.0178,19666.3449,27961.5803,2140.5089,69302.6471,14806.0924,14299.0575,83281.0124,39481.6383
2015-01-21,9948.0877,13224.5395,14191.1001,27364.967,21451.082,10385.0715,45552.0043,28468.8412,36642.745,29870.8652,6280.8582,38970.5438,19239.6922,23136.8006,106377.4411,49456.1014,28811.5657,3512.1838,105993.8357,9946.1799,21809.9669,20684.1511,3414.8586,29559.1725,36743.4267,23063.3238,8918.1068,11742.7703,8826.68,36593.1368,60142.3754,20301.2869,27910.5521,2149.7438,69759.5876,14997.3904,14485.5815,83897.0791,39521.3716
2015-01-22,10249.0987,13409.1037,14558.2067,27139.3586,20894.0793,10711.0754,46952.2931,29447.8602,37280.7599,29765.2958,6382.8675,39473.2387,19967.169,23641.4064,107116.4483,50408.5893,28755.5064,3554.5131,107460.3421,10285.6081,21734.2159,20610.6597,3420.8879,30658.281,37143.6648,23641.8681,9137.4046,12048.9877,8795.7092,37159.6738,61550.3075,21337.9842,28133.5662,2149.7438,69988.0579,15483.993,14572.1819,84149.1063,40474.9704
2015-01-23,10453.5899,13742.3447,14909.8328,28320.4848,21446.7642,10870.7164,47500.2322,28984.1144,37884.2874,30905.4454,6624.2288,39888.2542,20398.9236,24788.2377,110296.8184,50542.9145,29104.2348,3603.7065,109558.7577,9884.9375,22434.9124,20941.371,3483.4421,30444.9009,38673.9869,24519.4903,9140.2161,12364.5247,8893.2672,38627.5195,61051.9244,21652.6457,28572.8364,2137.2108,72018.9047,15738.4379,13829.4169,87173.4336,41229.9028
2015-01-26,10666.2608,13869.2964,14982.8118,28572.6353,21399.2678,11095.8944,47926.4071,28726.4778,38574.0332,31375.2293,6879.252,40157.1375,20384.1375,24717.3427,109465.4353,50701.6625,29242.9951,3680.9288,111323.3345,9984.5861,22567.4766,20989.1404,3515.8498,30678.4111,39348.8982,24705.8012,9162.7081,12487.0116,8840.6168,38730.5262,61463.0905,21529.0287,28694.4804,2124.0181,73440.4975,15851.7309,14117.5298,88853.6154,41931.8574
2015-01-27,10411.0558,13912.8783,14825.7964,28108.1475,21144.5146,10877.4382,47402.8208,28301.3775,38280.8913,31433.2925,6701.6465,39321.2612,20153.4741,24642.2774,108053.4038,50921.4673,28209.6737,3672.9206,110619.8884,9946.1799,22441.225,20794.3882,3410.3366,29973.8545,38509.183,24009.5869,9075.5514,12160.8236,8856.1022,38672.585,60858.801,21197.5103,28680.9644,2137.2108,73668.9677,15513.7092,13989.2946,87537.473,41931.8574
2015-01-28,10388.1527,13989.7876,14706.3762,28386.8402,21230.8716,10778.2927,48133.4063,27786.1043,38125.6985,31417.4571,6509.4683,39151.7478,20537.913,24725.6833,108198.5659,51116.8495,27751.3722,3675.2086,108652.6237,10031.2964,22643.2276,20555.5412,3506.0521,29148.5166,38418.9332,23936.0431,9114.9125,12239.375,8902.5584,38550.2645,59182.988,21354.8411,28599.8684,2121.3796,73719.7389,15675.291,14089.2181,87929.5154,41958.3463
2015-01-29,10512.4834,14092.3332,14688.6843,28705.3461,21399.2678,10739.6427,48693.5218,27721.6952,38711.9824,31549.4188,6732.6137,39368.0235,20635.5014,24913.3466,108554.8729,51666.3617,27961.0282,3672.9206,107090.7348,9867.2914,22725.2911,20794.3882,3460.0785,29196.8291,37885.2824,24646.9662,9252.6764,12502.9882,8947.4661,38730.5262,59369.8816,21450.3633,28593.1104,2137.2108,73465.8831,16000.3118,13872.7171,89721.7094,42633.8121
2015-01-30,10563.1972,14079.515,14690.8958,28293.9426,21388.4732,10638.8168,48035.9949,27219.3039,38625.7642,31718.3299,6739.9,39163.4384,20171.2174,24683.9803,108211.7625,50933.6787,27662.7852,3637.4555,108497.6271,9715.7424,22649.5402,20463.677,3444.2515,28854.6158,37041.6433,24524.3932,9140.2161,12701.3638,9018.699,38350.689,58279.6687,21312.6989,28430.9183,2110.8254,72856.629,16108.033,14094.2143,89077.6397,41375.5915
